Kanton;Jahr;Gemeinde;Kanton;Gemeinde;ref. Kirchgemeinde;kath. Kirchgemeinde
LU;2012;Adligenswil;1.5;1.9;0.25;0.2275
LU;2013;Adligenswil;1.5;1.9;0.25;0.2275
LU;2014;Adligenswil;1.6;2;0.25;0.2375
LU;2015;Adligenswil;1.6;2.1;0.25;0.2375
LU;2016;Adligenswil;1.6;2.1;0.25;0.2375
LU;2017;Adligenswil;1.6;2.1;0.25;0.2275
ZH;2011;Adlikon;100;115;12;15
ZH;2012;Adlikon;100;118;12;15
ZH;2013;Adlikon;100;118;12;15
ZH;2014;Adlikon;100;118;12;15
ZH;2015;Adlikon;100;118;12;15
ZH;2016;Adlikon;100;117;12;15
ZH;2017;Adlikon;100;119;12;14
ZH;2011;Adliswil;100;110;12;13
ZH;2012;Adliswil;100;108;11;13
ZH;2013;Adliswil;100;106;11;13
ZH;2014;Adliswil;100;104;11;13
ZH;2015;Adliswil;100;104;11;12
ZH;2016;Adliswil;100;104;11;12
ZH;2017;Adliswil;100;102;11;12
SO;2011;Aedermannsdorf;104;133;18;24
SO;2012;Aedermannsdorf;100;133;18;24
SO;2013;Aedermannsdorf;100;133;18;24
SO;2014;Aedermannsdorf;102;133;18;24
SO;2015;Aedermannsdorf;104;133;18;24
SO;2016;Aedermannsdorf;104;129;18;24
SO;2017;Aedermannsdorf;104;129;18;24
BE;2011;Aefligen;3.06;1.3;0.1725;0.155
BE;2012;Aefligen;3.06;1.5;0.1725;0.155
BE;2013;Aefligen;3.06;1.5;0.16;0.165
BE;2014;Aefligen;3.06;1.5;0.16;0.19
BE;2015;Aefligen;3.06;1.5;0.16;0.19
BE;2016;Aefligen;3.06;1.5;0.16;0.19
BE;2017;Aefligen;3.06;1.5;0.16;0.19
BE;2011;Aegerten;3.06;1.79;0.138;0.2185
BE;2012;Aegerten;3.06;1.79;0.18;0.2185
BE;2013;Aegerten;3.06;1.79;0.18;0.2185
BE;2014;Aegerten;3.06;1.79;0.18;0.2185
BE;2015;Aegerten;3.06;1.79;0.18;0.2185
BE;2016;Aegerten;3.06;1.79;0.18;0.2185
BE;2017;Aegerten;3.06;1.79;0.2;0.2185
LU;2011;Aesch;1.5;2.2;0.22;0.35
BL;2011;Aesch;100;56;0.6;8.2
ZH;2011;Aesch;100;87;11;9
ZH;2012;Aesch;100;87;11;9
LU;2012;Aesch;1.5;2.2;0.22;0.3
BL;2012;Aesch;100;56;0.6;8.2
BL;2013;Aesch;100;56;0.6;8.2
LU;2013;Aesch;1.5;2.2;0.22;0.35
ZH;2013;Aesch;100;87;11;10
LU;2014;Aesch;1.6;2.2;0.22;0.35
ZH;2014;Aesch;100;87;11;10
BL;2014;Aesch;100;56;0.7;8.2
BL;2015;Aesch (BL);100;56;0.7;8.2
BL;2016;Aesch (BL);100;56;0.7;8.2
BL;2017;Aesch (BL);100;56;0.7;8.2
LU;2015;Aesch (LU);1.6;2.2;0.22;0.35
LU;2016;Aesch (LU);1.6;2.1;0.22;0.35
LU;2017;Aesch (LU);1.6;2;0.22;0.3
ZH;2015;Aesch (ZH);100;87;11;11
ZH;2016;Aesch (ZH);100;87;11;11
ZH;2017;Aesch (ZH);100;87;11;11
SO;2011;Aeschi;104;115;16;15
SO;2012;Aeschi;100;115;15;15
SO;2013;Aeschi;100;115;15;15
SO;2014;Aeschi;102;115;15;15
SO;2015;Aeschi (SO);104;115;15;15
SO;2016;Aeschi (SO);104;115;15;15
SO;2017;Aeschi (SO);104;115;15;15
BE;2014;Aeschi b. Sp.;3.06;1.69;0.23;0.23
BE;2011;Aeschi b.Sp.;3.06;1.77;0.23;0.23
BE;2012;Aeschi b.Sp.;3.06;1.69;0.23;0.23
BE;2013;Aeschi b.Sp.;3.06;1.69;0.23;0.23
BE;2015;Aeschi bei Spiez;3.06;1.69;0.23;0.23
BE;2016;Aeschi bei Spiez;3.06;1.69;0.23;0.23
BE;2017;Aeschi bei Spiez;3.06;1.69;0.23;0.23
SO;2012;Aeschi-Steinhof;100;115;15;15
SO;2013;Aeschi-Steinhof;100;115;15;15
SO;2014;Aeschi-Steinhof;102;115;15;15
SO;2011;Aetigkofen;104;110;14;15
SO;2012;Aetigkofen;100;110;0;15
SO;2013;Aetigkofen;100;110;14;15
SO;2014;Aetigkofen / Buchegg;102;115;14;15
SO;2011;Aetingen;104;105;14;15
SO;2012;Aetingen;100;105;14;15
SO;2013;Aetingen;100;105;14;15
SO;2014;Aetingen / Buchegg;102;115;14;15
ZH;2011;Aeugst a.A.;100;98;10;16
ZH;2012;Aeugst a.A.;100;96;10;15
ZH;2013;Aeugst a.A.;100;96;12;15
ZH;2014;Aeugst a.A.;100;98;12;14
ZH;2015;Aeugst am Albis;100;98;12;14
ZH;2016;Aeugst am Albis;100;96;13;14
ZH;2017;Aeugst am Albis;100;96;13;14
TG;2011;Affeltrangen;117;149;27;26
TG;2012;Affeltrangen;117;151;27;26
TG;2013;Affeltrangen;117;151;27;26
TG;2014;Affeltrangen;117;151;27;26
TG;2015;Affeltrangen;117;148;27;26
TG;2016;Affeltrangen;117;151;27;26
TG;2017;Affeltrangen;117;154;27;24
ZH;2011;Affoltern a.A.;100;122;13;16
ZH;2012;Affoltern a.A.;100;122;13;15
ZH;2013;Affoltern a.A.;100;122;13;15
ZH;2014;Affoltern a.A.;100;124;13;14
ZH;2015;Affoltern am Albis;100;124;13;14
ZH;2016;Affoltern am Albis;100;124;13;14
ZH;2017;Affoltern am Albis;100;124;13;14
BE;2014;Affoltern i. E.;3.06;1.74;0.238;0.23
BE;2011;Affoltern i.E.;3.06;1.64;0.238;0.23
BE;2012;Affoltern i.E.;3.06;1.64;0.238;0.23
BE;2013;Affoltern i.E.;3.06;1.74;0.238;0.23
BE;2015;Affoltern im Emmental;3.06;1.74;0.238;0.23
BE;2016;Affoltern im Emmental;3.06;1.74;0.238;0.22
BE;2017;Affoltern im Emmental;3.06;1.74;0.238;0.22
VS;2015;Agarn;1;1.3;0;0
VS;2016;Agarn;1;1.3;0;0
VS;2017;Agarn;1;1.3;0;0
VD;2011;Agiez;151.5;74;0;0
VD;2012;Agiez;154.5;76;0;0
VD;2013;Agiez;154.5;76;0;0
VD;2014;Agiez;154.5;76;0;0
VD;2015;Agiez;154.5;76;0;0
VD;2016;Agiez;154.5;76;0;0
VD;2017;Agiez;154.5;76;0;0
TI;2011;AGNO;100;82.5;0;0
TI;2012;AGNO;100;82;0;0
TI;2013;AGNO;100;82;0;0
TI;2014;AGNO;100;82;0;0
TI;2015;Agno;100;82;0;0
TI;2016;Agno;100;82;0;0
TI;2017;Agno;100;82;0;0
VD;2011;Aigle;151.5;64;0;0
VD;2012;Aigle;154.5;66;0;0
VD;2013;Aigle;154.5;66;0;0
VD;2014;Aigle;154.5;66;0;0
VD;2015;Aigle;154.5;67.5;0;0
VD;2016;Aigle;154.5;67.5;0;0
VD;2017;Aigle;154.5;67.5;0;0
GE;2011;Aire-la-Ville;147.5;50;0;0
GE;2012;Aire-la-Ville;147.5;50;0;0
GE;2013;Aire-la-Ville;147.5;50;0;0
GE;2014;Aire-la-Ville;148.5;50;0;0
GE;2015;Aire-la-Ville;148.5;50;0;0
GE;2016;Aire-la-Ville;148.5;50;0;0
GE;2017;Aire-la-Ville;148.5;50;0;0
TI;2011;AIROLO;100;95;0;0
TI;2012;AIROLO;100;95;0;0
TI;2013;AIROLO;100;90;0;0
TI;2014;AIROLO;100;90;0;0
TI;2015;Airolo;100;90;0;0
TI;2016;Airolo;100;90;0;0
TI;2017;Airolo;100;90;0;0
LU;2011;Alberswil;1.5;2.15;0.35;0.37
LU;2012;Alberswil;1.5;2.15;0.35;0.37
LU;2013;Alberswil;1.5;2.15;0.35;0.35
LU;2014;Alberswil;1.6;2.15;0.35;0.33
LU;2015;Alberswil;1.6;2.15;0.35;0.31
LU;2016;Alberswil;1.6;2.15;0.35;0.29
LU;2017;Alberswil;1.6;2.15;0.35;0.29
VS;2015;Albinen;1;1.3;0;0
VS;2016;Albinen;1;1.3;0;0
VS;2017;Albinen;1;1.3;0;0
GR;2015;Albula/Alvra;100;100;20.5;18
GR;2016;Albula/Alvra;100;100;20.5;18
GR;2017;Albula/Alvra;100;100;20.5;15
BE;2011;Alchenstorf;3.06;1.7;0.2185;0.155
BE;2012;Alchenstorf;3.06;1.7;0.2185;0.155
BE;2013;Alchenstorf;3.06;1.8;0.2185;0.165
BE;2014;Alchenstorf;3.06;1.95;0.2185;0.19
BE;2015;Alchenstorf;3.06;1.95;0.2185;0.19
BE;2016;Alchenstorf;3.06;1.95;0.23;0.19
BE;2017;Alchenstorf;3.06;1.95;0.23;0.19
VD;2011;Allaman;151.5;58.5;0;0
VD;2012;Allaman;154.5;60.5;0;0
VD;2013;Allaman;154.5;60.5;0;0
VD;2014;Allaman;154.5;61;0;0
VD;2015;Allaman;154.5;62;0;0
VD;2016;Allaman;154.5;62;0;0
VD;2017;Allaman;154.5;62;0;0
JU;2011;Alle;2.85;2.1;8.1;8
JU;2012;Alle;2.85;2.1;8.1;8
JU;2013;Alle;2.85;2.1;8.1;8
JU;2014;Alle;2.85;2.25;8.1;8
JU;2015;Alle;2.85;2.25;8.1;8
JU;2016;Alle;2.85;2.25;8.1;8
JU;2017;Alle;2.85;2.25;8.1;8
BE;2014;Allmendingen;3.06;1.39;0.184;0.207
BE;2015;Allmendingen;3.06;1.39;0.184;0.207
BE;2016;Allmendingen;3.06;1.39;0.184;0.207
BE;2017;Allmendingen;3.06;1.35;0.184;0.207
BE;2011;Allmendingen b. Bern;3.06;1.39;0.184;0.207
BE;2012;Allmendingen b. Bern;3.06;1.39;0.184;0.207
BE;2013;Allmendingen b. Bern;3.06;1.39;0.184;0.207
BL;2011;Allschwil;100;58;0.55;8
BL;2012;Allschwil;100;58;0.55;8
BL;2013;Allschwil;100;58;0.55;8
BL;2014;Allschwil;100;58;0.55;8
BL;2015;Allschwil;100;58;0.55;8
BL;2016;Allschwil;100;58;0.55;8
BL;2017;Allschwil;100;58;0.55;8
GR;2011;Almens;100;130;17;15
GR;2012;Almens;100;130;17;15
GR;2013;Almens;100;130;17;15
GR;2014;Almens;100;130;20.5;15
OW;2011;Alpnach;2.95;4.3;0.54;0.68
OW;2012;Alpnach;2.95;4.3;0.54;0.68
OW;2013;Alpnach;2.95;4.3;0.54;0.68
OW;2014;Alpnach;2.95;4.3;0.54;0.68
OW;2015;Alpnach;3.05;4.85;0.54;0.68
OW;2016;Alpnach;3.05;4.85;0.54;0.68
OW;2017;Alpnach;3.05;4.85;0.54;0.68
SZ;2011;Alpthal;120;155;27;35
SZ;2012;Alpthal;120;155;24;35
SZ;2013;Alpthal;120;165;24;35
SZ;2014;Alpthal;120;195;24;35
SZ;2015;Alpthal;145;195;24;35
SZ;2016;Alpthal;170;195;24;35
SZ;2017;Alpthal;170;195;24;30
SG;2013;Alt St. Johann;115;148;26;28
SG;2014;Alt St. Johann;115;148;26;28
LU;2011;AltbÃ¼ron;1.5;2.4;0.23;0.43
LU;2012;AltbÃ¼ron;1.5;2.4;0.23;0.43
LU;2013;AltbÃ¼ron;1.5;2.4;0.23;0.43
LU;2014;AltbÃ¼ron;1.6;2.4;0.23;0.43
LU;2015;AltbÃ¼ron;1.6;2.4;0.23;0.43
LU;2016;AltbÃ¼ron;1.6;2.4;0.23;0.43
LU;2017;AltbÃ¼ron;1.6;2.4;0.23;0.43
UR;2011;Altdorf;100;99;120;96
UR;2012;Altdorf;100;99;120;92
UR;2013;Altdorf;100;99;120;92
UR;2014;Altdorf;100;99;120;92
UR;2015;Altdorf (UR);100;99;120;92
UR;2016;Altdorf (UR);100;97;120;87
UR;2017;Altdorf (UR);100;95;120;82
SZ;2011;Altendorf;120;145;15;15
SZ;2012;Altendorf;120;145;15;15
SZ;2013;Altendorf;120;150;18;15
SZ;2014;Altendorf;120;150;18;15
SZ;2015;Altendorf;145;155;18;15
SZ;2016;Altendorf;170;152;18;15
SZ;2017;Altendorf;170;148;18;15
FR;2011;Alterswil;100;70;10;11
FR;2012;Alterswil;100;70;10;11
FR;2013;Alterswil;100;70;10;11
FR;2014;Alterswil;100;79;10;11
FR;2015;Alterswil;100;79;10;11
FR;2016;Alterswil;100;79;10;11
FR;2017;Alterswil;100;79;10;11
ZH;2011;Altikon;100;112;14;13
ZH;2012;Altikon;100;112;14;13
ZH;2013;Altikon;100;112;14;13
ZH;2014;Altikon;100;112;14;13
ZH;2015;Altikon;100;112;14;13
ZH;2016;Altikon;100;112;14;13
ZH;2017;Altikon;100;114;14;13
LU;2011;Altishofen;1.5;1.7;0.23;0.315
LU;2012;Altishofen;1.5;1.7;0.23;0.35
LU;2013;Altishofen;1.5;1.8;0.23;0.35
LU;2014;Altishofen;1.6;1.8;0.23;0.35
LU;2015;Altishofen;1.6;1.8;0.23;0.35
LU;2016;Altishofen;1.6;1.8;0.23;0.32
LU;2017;Altishofen;1.6;1.8;0.23;0.33
TG;2011;Altnau;117;161;25;17
TG;2012;Altnau;117;159;23;17
TG;2013;Altnau;117;159;23;17
TG;2014;Altnau;117;156;23;17
TG;2015;Altnau;117;156;23;17
TG;2016;Altnau;117;157;21;17
TG;2017;Altnau;117;157;21;17
TI;2011;ALTO MALCANTONE;100;95;0;0
TI;2012;ALTO MALCANTONE;100;95;0;0
TI;2013;ALTO MALCANTONE;100;95;0;0
TI;2014;ALTO MALCANTONE;100;95;0;0
TI;2015;Alto Malcantone;100;95;0;0
TI;2016;Alto Malcantone;100;95;0;0
TI;2017;Alto Malcantone;100;95;0;0
SG;2011;AltstÃ¤tten;95;153;28;21
SG;2012;AltstÃ¤tten;105;153;28;24
SG;2013;AltstÃ¤tten;115;153;30;24
SG;2014;AltstÃ¤tten;115;153;30;24
SG;2015;AltstÃ¤tten;115;151;30;24
SG;2016;AltstÃ¤tten;115;148;28;24
SG;2017;AltstÃ¤tten;115;145;28;24
LU;2011;Altwis;1.5;1.95;0.22;0.28
LU;2012;Altwis;1.5;1.95;0.22;0.28
LU;2013;Altwis;1.5;2.4;0.22;0.29
LU;2014;Altwis;1.6;2.4;0.22;0.29
LU;2015;Altwis;1.6;2.6;0.22;0.29
LU;2016;Altwis;1.6;2.6;0.22;0.28
LU;2017;Altwis;1.6;2.6;0.22;0.28
GR;2011;Alvaneu;100;110;17;18
GR;2012;Alvaneu;100;110;17;18
GR;2013;Alvaneu;100;110;17;18
GR;2014;Alvaneu;100;110;20.5;18
GR;2011;Alvaschein;100;105;17;18
GR;2012;Alvaschein;100;105;17;18
GR;2013;Alvaschein;100;105;17;18
GR;2014;Alvaschein;100;105;20.5;18
SG;2011;Amden;95;142;25;24
SG;2012;Amden;105;137;25;24
SG;2013;Amden;115;135;26;24
SG;2014;Amden;115;125;26;24
SG;2015;Amden;115;125;28;25
SG;2016;Amden;115;125;28;25
SG;2017;Amden;115;125;28;25
TG;2011;Amlikon-Bissegg;117;170;18;24
TG;2012;Amlikon-Bissegg;117;172;18;21
TG;2013;Amlikon-Bissegg;117;172;18;21
TG;2014;Amlikon-Bissegg;117;170;18;24
TG;2015;Amlikon-Bissegg;117;168;18;24
TG;2016;Amlikon-Bissegg;117;168;18;24
TG;2017;Amlikon-Bissegg;117;166;18;24
AG;2011;Ammerswil;109;105;18;19
AG;2012;Ammerswil;109;98;18;19
AG;2013;Ammerswil;109;98;18;19
AG;2014;Ammerswil;109;98;18;19
AG;2015;Ammerswil;109;98;18;19
AG;2016;Ammerswil;109;98;18;19
AG;2017;Ammerswil;109;98;18;19
TG;2011;Amriswil;117;165;24;25
TG;2012;Amriswil;117;163;22;25
TG;2013;Amriswil;117;163;22;23
TG;2014;Amriswil;117;163;22;23
TG;2015;Amriswil;117;163;22;23
TG;2016;Amriswil;117;163;22;23
TG;2017;Amriswil;117;163;22;21
BE;2011;Amsoldingen;3.06;1.7;0.246;0.201
BE;2012;Amsoldingen;3.06;1.74;0.246;0.201
BE;2013;Amsoldingen;3.06;1.74;0.246;0.201
BE;2014;Amsoldingen;3.06;1.74;0.246;0.201
BE;2015;Amsoldingen;3.06;1.74;0.246;0.201
BE;2016;Amsoldingen;3.06;1.74;0.246;0.201
BE;2017;Amsoldingen;3.06;1.74;0.246;0.201
GR;2011;Andeer;100;90;17;18
GR;2012;Andeer;100;90;17;18
GR;2013;Andeer;100;90;17;18
GR;2014;Andeer;100;90;20.5;18
GR;2015;Andeer;100;90;20.5;18
GR;2016;Andeer;100;90;20.5;18
GR;2017;Andeer;100;90;20.5;16
ZH;2011;Andelfingen;100;108;12;15
ZH;2012;Andelfingen;100;110;12;15
ZH;2013;Andelfingen;100;110;12;15
ZH;2014;Andelfingen;100;112;12;15
ZH;2015;Andelfingen;100;115;12;15
ZH;2016;Andelfingen;100;114;12;15
ZH;2017;Andelfingen;100;114;12;14
UR;2011;Andermatt;100;120;120;133
UR;2012;Andermatt;100;120;120;133
UR;2013;Andermatt;100;120;120;133
UR;2014;Andermatt;100;120;120;133
UR;2015;Andermatt;100;120;120;133
UR;2016;Andermatt;100;115;120;133
UR;2017;Andermatt;100;115;120;133
GR;2011;Andiast;100;125;17;14
GR;2012;Andiast;100;125;17;14
GR;2013;Andiast;100;125;17;14
GR;2014;Andiast;100;125;20.5;14
GR;2015;Andiast;100;125;20.5;14
GR;2016;Andiast;100;125;20.5;14
GR;2017;Andiast;100;125;20.5;14
SG;2011;Andwil;95;137;20;28
SG;2012;Andwil;105;137;20;28
SG;2013;Andwil;115;137;23;28
SG;2014;Andwil;115;137;23;28
SG;2015;Andwil (SG);115;133;21;28
SG;2016;Andwil (SG);115;133;23;28
SG;2017;Andwil (SG);115;128;23;28
GR;2013;Angeli Custodi;100;90;7.5;15
GR;2014;Angeli Custodi;100;90;11;15
GE;2011;AniÃ¨res;147.5;33;0;0
GE;2012;AniÃ¨res;147.5;33;0;0
GE;2013;AniÃ¨res;147.5;33;0;0
GE;2014;AniÃ¨res;148.5;33;0;0
GE;2015;AniÃ¨res;148.5;33;0;0
GE;2016;AniÃ¨res;148.5;33;0;0
GE;2017;AniÃ¨res;148.5;33;0;0
VS;2015;Anniviers;1;1.25;0;0
VS;2016;Anniviers;1;1.25;0;0
VS;2017;Anniviers;1;1.25;0;0
BL;2011;Anwil;100;60;0.7;7.5
BL;2012;Anwil;100;60;0.7;7.5
BL;2013;Anwil;100;60;0.7;7.5
BL;2014;Anwil;100;60;0.7;7.5
BL;2015;Anwil;100;60;0.7;7.5
BL;2016;Anwil;100;63;0.7;7.5
BL;2017;Anwil;100;63;0.7;7.5
TI;2011;ANZONICO;100;100;0;0
AI;2011;Appenzell;96;86;10;10
AI;2012;Appenzell;96;86;10;10
AI;2013;Appenzell;96;82;10;10
AI;2014;Appenzell;96;79;10;10
AI;2015;Appenzell;96;77;10;10
AI;2016;Appenzell;96;73;10;10
AI;2017;Appenzell;96;71;10;10
VD;2011;Apples;151.5;69;0;0
VD;2012;Apples;154.5;71;0;0
VD;2013;Apples;154.5;71;0;0
VD;2014;Apples;154.5;71;0;0
VD;2015;Apples;154.5;71;0;0
VD;2016;Apples;154.5;76;0;0
VD;2017;Apples;154.5;76;0;0
TI;2011;ARANNO;100;95;0;0
TI;2012;ARANNO;100;95;0;0
TI;2014;ARANNO;100;90;0;0
TI;2015;Aranno;100;90;0;0
TI;2016;Aranno;100;95;0;0
TI;2017;Aranno;100;95;0;0
GR;2013;Araschggen;100;90;17;11
GR;2014;Araschggen;100;90;20.5;11
VS;2015;Arbaz;1;1.25;0;0
VS;2016;Arbaz;1;1.25;0;0
VS;2017;Arbaz;1;1.25;0;0
TI;2011;ARBEDO-CASTIONE;100;87;0;0
TI;2012;ARBEDO-CASTIONE;100;87;0;0
TI;2013;ARBEDO-CASTIONE;100;87;0;0
TI;2014;ARBEDO-CASTIONE;100;87;0;0
TI;2015;Arbedo-Castione;100;87;0;0
TI;2016;Arbedo-Castione;100;91;0;0
TI;2017;Arbedo-Castione;100;91;0;0
BL;2011;Arboldswil;100;60;0.7;9
BL;2012;Arboldswil;100;60;0.7;9
BL;2013;Arboldswil;100;60;0.7;9
BL;2014;Arboldswil;100;60;0.7;9
BL;2015;Arboldswil;100;60;0.7;9
BL;2016;Arboldswil;100;60;0.7;8
BL;2017;Arboldswil;100;60;0.7;8
TG;2011;Arbon;117;181;20;18
TG;2012;Arbon;117;181;20;18
TG;2013;Arbon;117;181;20;21
TG;2014;Arbon;117;181;20;21
TG;2015;Arbon;117;179;20;21
TG;2016;Arbon;117;183;20;21
TG;2017;Arbon;117;183;76;21
BE;2011;Arch;3.06;1.89;0.16;0.2185
BE;2012;Arch;3.06;1.82;0.16;0.2185
BE;2013;Arch;3.06;1.82;0.16;0.2185
BE;2014;Arch;3.06;1.82;0.16;0.2185
BE;2015;Arch;3.06;1.82;0.16;0.2185
BE;2016;Arch;3.06;1.82;0.16;0.2185
BE;2017;Arch;3.06;1.82;0.16;0.2185
FR;2011;Arconciel;100;85;9;9
FR;2012;Arconciel;100;85;9;9
FR;2013;Arconciel;100;85;9;8
FR;2014;Arconciel;100;85;9;8
FR;2015;Arconciel;100;85;9;8
FR;2016;Arconciel;100;85;9;8
FR;2017;Arconciel;100;85;9;8
GR;2011;Ardez;100;88;17;15
GR;2012;Ardez;100;88;17;15
GR;2013;Ardez;100;88;17;15
GR;2014;Ardez;100;88;20.5;15
VS;2015;Ardon;1;1.3;0;0
VS;2016;Ardon;1;1.3;0;0
VS;2017;Ardon;1;1.3;0;0
BL;2011;Arisdorf;100;59;0.59;6.75
BL;2012;Arisdorf;100;59;0.59;6.75
BL;2013;Arisdorf;100;59;0.59;6.75
BL;2014;Arisdorf;100;59;0.59;6.75
BL;2015;Arisdorf;100;59;0.59;6.75
BL;2016;Arisdorf;100;59;0.59;6.75
BL;2017;Arisdorf;100;59;0.59;6.75
AG;2011;Aristau;109;109;17;23
AG;2012;Aristau;109;109;17;23
AG;2013;Aristau;109;109;17;23
AG;2014;Aristau;109;109;17;23
AG;2015;Aristau;109;109;17;23
AG;2016;Aristau;109;109;17;23
AG;2017;Aristau;109;109;17;23
BL;2011;Arlesheim;100;45;0.53;8
BL;2012;Arlesheim;100;45;0.53;8
BL;2013;Arlesheim;100;45;0.53;8
BL;2014;Arlesheim;100;45;0.53;8
BL;2015;Arlesheim;100;45;0.53;8
BL;2016;Arlesheim;100;45;0.53;8
BL;2017;Arlesheim;100;45;0.53;8
SG;2013;Arnegg (Andwil);115;116;4;28
SG;2014;Arnegg (Andwil);115;126;23;28
VD;2011;Arnex-sur-Nyon;151.5;57;0;0
VD;2012;Arnex-sur-Nyon;154.5;57;0;0
VD;2013;Arnex-sur-Nyon;154.5;57;0;0
VD;2014;Arnex-sur-Nyon;154.5;63;0;0
VD;2015;Arnex-sur-Nyon;154.5;65;0;0
VD;2016;Arnex-sur-Nyon;154.5;70;0;0
VD;2017;Arnex-sur-Nyon;154.5;70;0;0
VD;2011;Arnex-sur-Orbe;151.5;71;0;0
VD;2012;Arnex-sur-Orbe;154.5;73;0;0
VD;2013;Arnex-sur-Orbe;154.5;73;0;0
VD;2014;Arnex-sur-Orbe;154.5;73;0;0
VD;2015;Arnex-sur-Orbe;154.5;73;0;0
VD;2016;Arnex-sur-Orbe;154.5;73;0;0
VD;2017;Arnex-sur-Orbe;154.5;73;0;0
AG;2011;Arni;109;87;14;13
AG;2012;Arni;109;87;14;13
AG;2013;Arni;109;87;14;13
AG;2014;Arni;109;87;14;13
BE;2014;Arni;3.06;1.64;0.23;0.19
AG;2015;Arni (AG);109;87;14;13
AG;2016;Arni (AG);109;89;14;13
AG;2017;Arni (AG);109;89;14;13
BE;2015;Arni (BE);3.06;1.64;0.23;0.19
BE;2016;Arni (BE);3.06;1.64;0.23;0.19
BE;2017;Arni (BE);3.06;1.64;0.23;0.19
BE;2011;Arni BE;3.06;1.64;0.23;0.19
BE;2012;Arni BE;3.06;1.64;0.23;0.19
BE;2013;Arni BE;3.06;1.64;0.23;0.19
TI;2011;AROGNO;100;100;0;0
TI;2013;AROGNO;100;100;0;0
TI;2014;AROGNO;100;95;0;0
TI;2015;Arogno;100;95;0;0
TI;2016;Arogno;100;95;0;0
TI;2017;Arogno;100;95;0;0
GR;2011;Arosa;100;90;13;11
GR;2012;Arosa;100;90;13;11
GR;2013;Arosa;100;90;13;11
GR;2014;Arosa;100;90;16.5;11
GR;2015;Arosa;100;90;16.5;11
GR;2016;Arosa;100;90;20.5;11
GR;2017;Arosa;100;90;16.5;11
SZ;2011;Arth;120;210;30;35
SZ;2012;Arth;120;210;32;35
SZ;2013;Arth;120;230;32;35
SZ;2014;Arth;120;230;32;35
SZ;2015;Arth;145;230;32;35
