00OW               20191119                                                                                   
0601OWA1N       20200101000315100000005000 0100000670000211   
0601OWA1N       20200101000320100000005000 0100000730000226   
0601OWA1N       20200101000325100000005000 0100000790000241   
0601OWA1N       20200101000330100000005000 0100000850000256   
0601OWA1N       20200101000335100000005000 0100000920000273   
0601OWA1N       20200101000340100000005000 0100000980000286   
0601OWA1N       20200101000345100000005000 0100001060000305   
0601OWA1N       20200101000350100000005000 0100001120000318   
0601OWA1N       20200101000355100000005000 0100001180000330   
0601OWA1N       20200101000360100000005000 0100001240000342   
0601OWA1N       20200101000365100000005000 0100001310000356   
0601OWA1N       20200101000370100000005000 0100001370000368   
0601OWA1N       20200101000375100000005000 0100001440000381   
0601OWA1N       20200101000380100000005000 0100001510000395   
0601OWA1N       20200101000385100000005000 0100001570000405   
0601OWA1N       20200101000390100000005000 0100001630000415   
0601OWA1N       20200101000395100000005000 0100001690000425   
0601OWA1N       20200101000400100000005000 0100001760000437   
0601OWA1N       20200101000405100000005000 0100001830000449   
0601OWA1N       20200101000410100000005000 0100001890000458   
0601OWA1N       20200101000415100000005000 0100001960000469   
0601OWA1N       20200101000420100000005000 0100002020000478   
0601OWA1N       20200101000425100000005000 0100002080000487   
0601OWA1N       20200101000430100000005000 0100002150000497   
0601OWA1N       20200101000435100000005000 0100002220000507   
0601OWA1N       20200101000440100000005000 0100002300000520   
0601OWA1N       20200101000445100000005000 0100002370000530   
0601OWA1N       20200101000450100000005000 0100002430000537   
0601OWA1N       20200101000455100000005000 0100002510000549   
0601OWA1N       20200101000460100000005000 0100002580000558   
0601OWA1N       20200101000465100000005000 0100002660000569   
0601OWA1N       20200101000470100000005000 0100002720000576   
0601OWA1N       20200101000475100000005000 0100002800000586   
0601OWA1N       20200101000480100000005000 0100002870000595   
0601OWA1N       20200101000485100000005000 0100002950000605   
0601OWA1N       20200101000490100000005000 0100003010000611   
0601OWA1N       20200101000495100000005000 0100003090000621   
0601OWA1N       20200101000500100000005000 0100003160000629   
0601OWA1N       20200101000505100000005000 0100003230000636   
0601OWA1N       20200101000510100000005000 0100003300000644   
