00AR               20191119                                                                                   
0601ARA0N       20200101001495100000005000 0000027570001841   
0601ARA0N       20200101001500100000005000 0000027710001844   
0601ARA0N       20200101001505100000005000 0000027850001847   
0601ARA0N       20200101001510100000005000 0000027990001851   
0601ARA0N       20200101001515100000005000 0000028140001854   
0601ARA0N       20200101001520100000005000 0000028270001857   
0601ARA0N       20200101001525100000005000 0000028420001860   
0601ARA0N       20200101001530100000005000 0000028560001863   
0601ARA0N       20200101001535100000005000 0000028690001866   
0601ARA0N       20200101001540100000005000 0000028840001870   
0601ARA0N       20200101001545100000005000 0000028980001873   
0601ARA0N       20200101001550100000005000 0000029110001875   
0601ARA0N       20200101001555100000005000 0000029260001879   
0601ARA0N       20200101001560100000005000 0000029390001881   
0601ARA0N       20200101001565100000005000 0000029530001884   
0601ARA0N       20200101001570100000005000 0000029680001888   
0601ARA0N       20200101001575100000005000 0000029820001890   
0601ARA0N       20200101001580100000005000 0000029960001893   
0601ARA0N       20200101001585100000005000 0000030110001896   
0601ARA0N       20200101001590100000005000 0000030240001899   
0601ARA0N       20200101001595100000005000 0000030380001902   
0601ARA0N       20200101001600100000005000 0000030530001905   
0601ARA0N       20200101001605100000005000 0000030660001907   
0601ARA0N       20200101001610100000005000 0000030800001910   
0601ARA0N       20200101001615100000005000 0000030930001912   
0601ARA0N       20200101001620100000005000 0000031080001916   
0601ARA0N       20200101001625100000005000 0000031220001919   
0601ARA0N       20200101001630100000005000 0000031360001921   
0601ARA0N       20200101001635100000005000 0000031510001924   
0601ARA0N       20200101001640100000005000 0000031650001927   
0601ARA0N       20200101001645100000005000 0000031780001929   
0601ARA0N       20200101001650100000005000 0000031930001932   
0601ARA0N       20200101001655100000005000 0000032070001935   
0601ARA0N       20200101001660100000005000 0000032200001937   
0601ARA0N       20200101001665100000005000 0000032350001940   
0601ARA0N       20200101001670100000005000 0000032490001943   
0601ARA0N       20200101001675100000005000 0000032620001945   
0601ARA0N       20200101001680100000005000 0000032770001948   
0601ARA0N       20200101001685100000005000 0000032910001950   
0601ARA0N       20200101001690100000005000 0000033050001952   
0601ARA0N       20200101001695100000005000 0000033190001955   
0601ARA0N       20200101001700100000005000 0000033340001958   
0601ARA0N       20200101001705100000005000 0000033470001960   
0601ARA0N       20200101001710100000005000 0000033620001963   
0601ARA0N       20200101001715100000005000 0000033760001966   
0601ARA0N       20200101001720100000005000 0000033890001967   
0601ARA0N       20200101001725100000005000 0000034040001970   
0601ARA0N       20200101001730100000005000 0000034180001973   
0601ARA0N       20200101001735100000005000 0000034310001975   
0601ARA0N       20200101001740100000005000 0000034460001978   
0601ARA0N       20200101001745100000005000 0000034600001980   
0601ARA0N       20200101001750100000005000 0000034730001982   
0601ARA0N       20200101001755100000005000 0000034880001985   
0601ARA0N       20200101001760100000005000 0000035030001987   
0601ARA0N       20200101001765100000005000 0000035160001990   
0601ARA0N       20200101001770100000005000 0000035320001993   
0601ARA0N       20200101001775100000005000 0000035480001996   
0601ARA0N       20200101001780100000005000 0000035620001998   
0601ARA0N       20200101001785100000005000 0000035760002000   
0601ARA0N       20200101001790100000005000 0000035930002004   
0601ARA0N       20200101001795100000005000 0000036070002007   
0601ARA0N       20200101001800100000005000 0000036210002009   
0601ARA0N       20200101001805100000005000 0000036380002013   
0601ARA0N       20200101001810100000005000 0000036520002015   
0601ARA0N       20200101001815100000005000 0000036660002017   
0601ARA0N       20200101001820100000005000 0000036830002021   
0601ARA0N       20200101001825100000005000 0000036970002023   
0601ARA0N       20200101001830100000005000 0000037110002025   
0601ARA0N       20200101001835100000005000 0000037280002029   
0601ARA0N       20200101001840100000005000 0000037420002031   
0601ARA0N       20200101001845100000005000 0000037560002033   
0601ARA0N       20200101001850100000005000 0000037730002037   
0601ARA0N       20200101001855100000005000 0000037870002039   
0601ARA0N       20200101001860100000005000 0000038020002041   
0601ARA0N       20200101001865100000005000 0000038190002045   
0601ARA0N       20200101001870100000005000 0000038330002047   
0601ARA0N       20200101001875100000005000 0000038470002049   
0601ARA0N       20200101001880100000005000 0000038640002052   
0601ARA0N       20200101001885100000005000 0000038780002054   
0601ARA0N       20200101001890100000005000 0000038920002056   
0601ARA0N       20200101001895100000005000 0000039090002060   
0601ARA0N       20200101001900100000005000 0000039230002062   
0601ARA0N       20200101001905100000005000 0000039370002064   
0601ARA0N       20200101001910100000005000 0000039540002067   
0601ARA0N       20200101001915100000005000 0000039680002069   
0601ARA0N       20200101001920100000005000 0000039820002071   
0601ARA0N       20200101001925100000005000 0000039990002075   
0601ARA0N       20200101001930100000005000 0000040130002077   
0601ARA0N       20200101001935100000005000 0000040270002079   
0601ARA0N       20200101001940100000005000 0000040440002082   
0601ARA0N       20200101001945100000005000 0000040580002084   
0601ARA0N       20200101001950100000005000 0000040730002086   
0601ARA0N       20200101001955100000005000 0000040880002088   
0601ARA0N       20200101001960100000005000 0000041040002091   
0601ARA0N       20200101001965100000005000 0000041180002093   
0601ARA0N       20200101001970100000005000 0000041330002095   
0601ARA0N       20200101001975100000005000 0000041490002098   
0601ARA0N       20200101001980100000005000 0000041630002100   
0601ARA0N       20200101001985100000005000 0000041780002102   
0601ARA0N       20200101001990100000005000 0000041940002105   
0601ARA0N       20200101001995100000005000 0000042080002107   
0601ARA0N       20200101002000100000005000 0000042230002109   
0601ARA0N       20200101002005100000005000 0000042390002112   
0601ARA0N       20200101002010100000005000 0000042530002113   
0601ARA0N       20200101002015100000005000 0000042680002116   
0601ARA0N       20200101002020100000005000 0000042840002118   
0601ARA0N       20200101002025100000005000 0000042980002120   
0601ARA0N       20200101002030100000005000 0000043140002122   
0601ARA0N       20200101002035100000005000 0000043300002125   
0601ARA0N       20200101002040100000005000 0000043440002127   
0601ARA0N       20200101002045100000005000 0000043590002129   
0601ARA0N       20200101002050100000005000 0000043750002131   
0601ARA0N       20200101002055100000005000 0000043890002133   
0601ARA0N       20200101002060100000005000 0000044040002135   
0601ARA0N       20200101002065100000005000 0000044200002138   
0601ARA0N       20200101002070100000005000 0000044340002139   
0601ARA0N       20200101002075100000005000 0000044490002142   
0601ARA0N       20200101002080100000005000 0000044650002144   
0601ARA0N       20200101002085100000005000 0000044790002146   
0601ARA0N       20200101002090100000005000 0000044940002148   
0601ARA0N       20200101002095100000005000 0000045100002150   
0601ARA0N       20200101002100100000005000 0000045240002152   
0601ARA0N       20200101002105100000005000 0000045400002154   
0601ARA0N       20200101002110100000005000 0000045550002156   
0601ARA0N       20200101002115100000005000 0000045690002158   
0601ARA0N       20200101002120100000005000 0000045850002160   
0601ARA0N       20200101002125100000005000 0000045990002162   
0601ARA0N       20200101002130100000005000 0000046150002164   
0601ARA0N       20200101002135100000005000 0000046300002166   
0601ARA0N       20200101002140100000005000 0000046440002168   
0601ARA0N       20200101002145100000005000 0000046600002170   
0601ARA0N       20200101002150100000005000 0000046750002172   
0601ARA0N       20200101002155100000005000 0000046890002173   
0601ARA0N       20200101002160100000005000 0000047050002176   
0601ARA0N       20200101002165100000005000 0000047200002178   
0601ARA0N       20200101002170100000005000 0000047340002179   
0601ARA0N       20200101002175100000005000 0000047500002181   
0601ARA0N       20200101002180100000005000 0000047650002183   
0601ARA0N       20200101002185100000005000 0000047790002185   
0601ARA0N       20200101002190100000005000 0000047950002187   
0601ARA0N       20200101002195100000005000 0000048110002189   
0601ARA0N       20200101002200100000005000 0000048250002191   
0601ARA0N       20200101002205100000005000 0000048400002193   
0601ARA0N       20200101002210100000005000 0000048560002195   
0601ARA0N       20200101002215100000005000 0000048700002196   
0601ARA0N       20200101002220100000005000 0000048860002198   
0601ARA0N       20200101002225100000005000 0000049010002200   
0601ARA0N       20200101002230100000005000 0000049150002202   
0601ARA0N       20200101002235100000005000 0000049310002204   
0601ARA0N       20200101002240100000005000 0000049460002206   
0601ARA0N       20200101002245100000005000 0000049600002207   
0601ARA0N       20200101002250100000005000 0000049760002209   
0601ARA0N       20200101002255100000005000 0000049910002211   
0601ARA0N       20200101002260100000005000 0000050050002212   
0601ARA0N       20200101002265100000005000 0000050210002214   
0601ARA0N       20200101002270100000005000 0000050350002216   
0601ARA0N       20200101002275100000005000 0000050500002218   
0601ARA0N       20200101002280100000005000 0000050660002220   
0601ARA0N       20200101002285100000005000 0000050800002221   
0601ARA0N       20200101002290100000005000 0000050960002223   
0601ARA0N       20200101002295100000005000 0000051100002224   
0601ARA0N       20200101002300100000005000 0000051260002226   
0601ARA0N       20200101002305100000005000 0000051410002228   
0601ARA0N       20200101002310100000005000 0000051550002229   
0601ARA0N       20200101002315100000005000 0000051710002231   
0601ARA0N       20200101002320100000005000 0000051860002233   
0601ARA0N       20200101002325100000005000 0000052000002234   
0601ARA0N       20200101002330100000005000 0000052160002236   
0601ARA0N       20200101002335100000005000 0000052310002238   
0601ARA0N       20200101002340100000005000 0000052450002239   
0601ARA0N       20200101002345100000005000 0000052610002241   
0601ARA0N       20200101002350100000005000 0000052760002243   
0601ARA0N       20200101002355100000005000 0000052900002244   
0601ARA0N       20200101002360100000005000 0000053060002246   
0601ARA0N       20200101002365100000005000 0000053220002248   
0601ARA0N       20200101002370100000005000 0000053360002249   
0601ARA0N       20200101002375100000005000 0000053510002251   
0601ARA0N       20200101002380100000005000 0000053670002253   
0601ARA0N       20200101002385100000005000 0000053810002254   
0601ARA0N       20200101002390100000005000 0000053970002256   
0601ARA0N       20200101002395100000005000 0000054120002257   
0601ARA0N       20200101002400100000005000 0000054260002258   
0601ARA0N       20200101002405100000005000 0000054420002260   
0601ARA0N       20200101002410100000005000 0000054570002262   
0601ARA0N       20200101002415100000005000 0000054710002263   
0601ARA0N       20200101002420100000005000 0000054870002265   
0601ARA0N       20200101002425100000005000 0000055020002267   
0601ARA0N       20200101002430100000005000 0000055160002268   
0601ARA0N       20200101002435100000005000 0000055320002270   
0601ARA0N       20200101002440100000005000 0000055470002271   
0601ARA0N       20200101002445100000005000 0000055610002272   
0601ARA0N       20200101002450100000005000 0000055770002274   
0601ARA0N       20200101002455100000005000 0000055920002275   
0601ARA0N       20200101002460100000005000 0000056050002276   
0601ARA0N       20200101002465100000005000 0000056180002277   
0601ARA0N       20200101002470100000005000 0000056340002279   
0601ARA0N       20200101002475100000005000 0000056470002279   
0601ARA0N       20200101002480100000005000 0000056600002280   
0601ARA0N       20200101002485100000005000 0000056760002282   
0601ARA0N       20200101002490100000005000 0000056890002283   
0601ARA0N       20200101002495100000005000 0000057030002283   
0601ARA0N       20200101002500100000500000 0000064150002333   
0601ARA0N       20200101003000100000500000 0000078250002408   
0601ARA0N       20200101003500100000500000 0000092330002462   
0601ARA0N       20200101004000100000500000 0000106410002504   
0601ARA0N       20200101004500100000500000 0000120510002537   
0601ARA1N       20200101000000100000115000 0100000030000026   
0601ARA1N       20200101000115100000005000 0100000030000026   
0601ARA1N       20200101000120100000005000 0100000030000024   
0601ARA1N       20200101000125100000005000 0100000030000024   
0601ARA1N       20200101000130100000005000 0100000030000023   
0601ARA1N       20200101000135100000005000 0100000030000022   
0601ARA1N       20200101000140100000005000 0100000030000021   
0601ARA1N       20200101000145100000005000 0100000030000020   
0601ARA1N       20200101000150100000005000 0100000030000020   
0601ARA1N       20200101000155100000005000 0100000030000019   
0601ARA1N       20200101000160100000005000 0100000030000018   
0601ARA1N       20200101000165100000005000 0100000030000018   
0601ARA1N       20200101000170100000005000 0100000030000017   
0601ARA1N       20200101000175100000005000 0100000030000017   
0601ARA1N       20200101000180100000005000 0100000030000016   
0601ARA1N       20200101000185100000005000 0100000030000016   
0601ARA1N       20200101000190100000005000 0100000030000016   
0601ARA1N       20200101000195100000005000 0100000030000015   
0601ARA1N       20200101000200100000005000 0100000030000015   
0601ARA1N       20200101000205100000005000 0100000030000014   
0601ARA1N       20200101000210100000005000 0100000040000017   
0601ARA1N       20200101000215100000005000 0100000060000026   
0601ARA1N       20200101000220100000005000 0100000090000039   
0601ARA1N       20200101000225100000005000 0100000120000052   
0601ARA1N       20200101000230100000005000 0100000150000064   
0601ARA1N       20200101000235100000005000 0100000200000082   
0601ARA1N       20200101000240100000005000 0100000240000100   
0601ARA1N       20200101000245100000005000 0100000290000116   
0601ARA1N       20200101000250100000005000 0100000330000132   
0601ARA1N       20200101000255100000005000 0100000390000151   
0601ARA1N       20200101000260100000005000 0100000440000166   
0601ARA1N       20200101000265100000005000 0100000480000181   
0601ARA1N       20200101000270100000005000 0100000530000195   
0601ARA1N       20200101000275100000005000 0100000590000212   
0601ARA1N       20200101000280100000005000 0100000650000229   
0601ARA1N       20200101000285100000005000 0100000710000246   
0601ARA1N       20200101000290100000005000 0100000770000262   
0601ARA1N       20200101000295100000005000 0100000820000277   
0601ARA1N       20200101000300100000005000 0100000880000292   
0601ARA1N       20200101000305100000005000 0100000940000307   
0601ARA1N       20200101000310100000005000 0100001000000320   
0601ARA1N       20200101000315100000005000 0100001060000334   
0601ARA1N       20200101000320100000005000 0100001120000347   
0601ARA1N       20200101000325100000005000 0100001180000360   
0601ARA1N       20200101000330100000005000 0100001240000372   
0601ARA1N       20200101000335100000005000 0100001300000384   
0601ARA1N       20200101000340100000005000 0100001360000396   
0601ARA1N       20200101000345100000005000 0100001410000407   
