00VD               20191128                                                                                   
0601VDA0N       20200101001250100000005000 0000000000002072   
0601VDA0N       20200101001255100000005000 0000000000002077   
0601VDA0N       20200101001260100000005000 0000000000002083   
0601VDA0N       20200101001265100000005000 0000000000002087   
0601VDA0N       20200101001270100000005000 0000000000002091   
0601VDA0N       20200101001275100000005000 0000000000002098   
0601VDA0N       20200101001280100000005000 0000000000002102   
0601VDA0N       20200101001285100000005000 0000000000002105   
0601VDA0N       20200101001290100000005000 0000000000002113   
0601VDA0N       20200101001295100000005000 0000000000002116   
0601VDA0N       20200101001300100000005000 0000000000002120   
0601VDA0N       20200101001305100000005000 0000000000002126   
0601VDA0N       20200101001310100000005000 0000000000002130   
0601VDA0N       20200101001315100000005000 0000000000002134   
0601VDA0N       20200101001320100000005000 0000000000002141   
0601VDA0N       20200101001325100000005000 0000000000002145   
0601VDA0N       20200101001330100000005000 0000000000002149   
0601VDA0N       20200101001335100000005000 0000000000002156   
0601VDA0N       20200101001340100000005000 0000000000002159   
0601VDA0N       20200101001345100000005000 0000000000002164   
0601VDA0N       20200101001350100000005000 0000000000002170   
0601VDA0N       20200101001355100000005000 0000000000002173   
0601VDA0N       20200101001360100000005000 0000000000002178   
0601VDA0N       20200101001365100000005000 0000000000002184   
0601VDA0N       20200101001370100000005000 0000000000002187   
0601VDA0N       20200101001375100000005000 0000000000002192   
0601VDA0N       20200101001380100000005000 0000000000002198   
0601VDA0N       20200101001385100000005000 0000000000002202   
0601VDA0N       20200101001390100000005000 0000000000002207   
0601VDA0N       20200101001395100000005000 0000000000002214   
0601VDA0N       20200101001400100000005000 0000000000002218   
0601VDA0N       20200101001405100000005000 0000000000002222   
0601VDA0N       20200101001410100000005000 0000000000002228   
0601VDA0N       20200101001415100000005000 0000000000002233   
0601VDA0N       20200101001420100000005000 0000000000002237   
0601VDA0N       20200101001425100000005000 0000000000002244   
0601VDA0N       20200101001430100000005000 0000000000002248   
0601VDA0N       20200101001435100000005000 0000000000002252   
0601VDA0N       20200101001440100000005000 0000000000002258   
0601VDA0N       20200101001445100000005000 0000000000002262   
0601VDA0N       20200101001450100000005000 0000000000002266   
0601VDA0N       20200101001455100000005000 0000000000002272   
0601VDA0N       20200101001460100000005000 0000000000002276   
0601VDA0N       20200101001465100000005000 0000000000002280   
0601VDA0N       20200101001470100000005000 0000000000002286   
0601VDA0N       20200101001475100000005000 0000000000002290   
0601VDA0N       20200101001480100000005000 0000000000002294   
0601VDA0N       20200101001485100000005000 0000000000002300   
0601VDA0N       20200101001490100000005000 0000000000002304   
0601VDA0N       20200101001495100000005000 0000000000002308   
0601VDA0N       20200101001500100000005000 0000000000002313   
0601VDA0N       20200101001505100000005000 0000000000002317   
0601VDA0N       20200101001510100000005000 0000000000002320   
0601VDA0N       20200101001515100000005000 0000000000002327   
0601VDA0N       20200101001520100000005000 0000000000002330   
0601VDA0N       20200101001525100000005000 0000000000002333   
0601VDA0N       20200101001530100000005000 0000000000002339   
0601VDA0N       20200101001535100000005000 0000000000002343   
0601VDA0N       20200101001540100000005000 0000000000002346   
0601VDA0N       20200101001545100000005000 0000000000002351   
0601VDA0N       20200101001550100000005000 0000000000002355   
0601VDA0N       20200101001555100000005000 0000000000002359   
0601VDA0N       20200101001560100000005000 0000000000002362   
0601VDA0N       20200101001565100000005000 0000000000002368   
0601VDA0N       20200101001570100000005000 0000000000002372   
0601VDA0N       20200101001575100000005000 0000000000002375   
0601VDA0N       20200101001580100000005000 0000000000002382   
0601VDA0N       20200101001585100000005000 0000000000002385   
0601VDA0N       20200101001590100000005000 0000000000002389   
0601VDA0N       20200101001595100000005000 0000000000002395   
0601VDA0N       20200101001600100000005000 0000000000002398   
0601VDA0N       20200101001605100000005000 0000000000002402   
0601VDA0N       20200101001610100000005000 0000000000002407   
0601VDA0N       20200101001615100000005000 0000000000002410   
0601VDA0N       20200101001620100000005000 0000000000002414   
0601VDA0N       20200101001625100000005000 0000000000002419   
0601VDA0N       20200101001630100000005000 0000000000002422   
0601VDA0N       20200101001635100000005000 0000000000002425   
0601VDA0N       20200101001640100000005000 0000000000002431   
0601VDA0N       20200101001645100000005000 0000000000002435   
0601VDA0N       20200101001650100000005000 0000000000002437   
0601VDA0N       20200101001655100000005000 0000000000002443   
0601VDA0N       20200101001660100000005000 0000000000002446   
0601VDA0N       20200101001665100000005000 0000000000002449   
0601VDA0N       20200101001670100000005000 0000000000002455   
0601VDA0N       20200101001675100000005000 0000000000002458   
0601VDA0N       20200101001680100000005000 0000000000002460   
0601VDA0N       20200101001685100000005000 0000000000002466   
0601VDA0N       20200101001690100000005000 0000000000002469   
0601VDA0N       20200101001695100000005000 0000000000002472   
0601VDA0N       20200101001700100000005000 0000000000002477   
0601VDA0N       20200101001705100000005000 0000000000002480   
0601VDA0N       20200101001710100000005000 0000000000002483   
0601VDA0N       20200101001715100000005000 0000000000002488   
0601VDA0N       20200101001720100000005000 0000000000002491   
0601VDA0N       20200101001725100000005000 0000000000002494   
0601VDA0N       20200101001730100000005000 0000000000002498   
0601VDA0N       20200101001735100000005000 0000000000002502   
0601VDA0N       20200101001740100000005000 0000000000002505   
0601VDA0N       20200101001745100000005000 0000000000002510   
0601VDA0N       20200101001750100000005000 0000000000002512   
0601VDA0N       20200101001755100000005000 0000000000002515   
0601VDA0N       20200101001760100000005000 0000000000002520   
0601VDA0N       20200101001765100000005000 0000000000002524   
0601VDA0N       20200101001770100000005000 0000000000002526   
0601VDA0N       20200101001775100000005000 0000000000002532   
0601VDA0N       20200101001780100000005000 0000000000002535   
0601VDA0N       20200101001785100000005000 0000000000002538   
0601VDA0N       20200101001790100000005000 0000000000002543   
0601VDA0N       20200101001795100000005000 0000000000002547   
0601VDA0N       20200101001800100000005000 0000000000002550   
0601VDA0N       20200101001805100000005000 0000000000002555   
0601VDA0N       20200101001810100000005000 0000000000002558   
0601VDA0N       20200101001815100000005000 0000000000002561   
0601VDA0N       20200101001820100000005000 0000000000002566   
0601VDA0N       20200101001825100000005000 0000000000002570   
0601VDA0N       20200101001830100000005000 0000000000002573   
0601VDA0N       20200101001835100000005000 0000000000002579   
0601VDA0N       20200101001840100000005000 0000000000002582   
0601VDA0N       20200101001845100000005000 0000000000002585   
0601VDA0N       20200101001850100000005000 0000000000002590   
0601VDA0N       20200101001855100000005000 0000000000002594   
0601VDA0N       20200101001860100000005000 0000000000002597   
0601VDA0N       20200101001865100000005000 0000000000002602   
0601VDA0N       20200101001870100000005000 0000000000002606   
0601VDA0N       20200101001875100000005000 0000000000002608   
0601VDA0N       20200101001880100000005000 0000000000002613   
0601VDA0N       20200101001885100000005000 0000000000002617   
0601VDA0N       20200101001890100000005000 0000000000002619   
0601VDA0N       20200101001895100000005000 0000000000002624   
0601VDA0N       20200101001900100000005000 0000000000002628   
0601VDA0N       20200101001905100000005000 0000000000002630   
0601VDA0N       20200101001910100000005000 0000000000002635   
0601VDA0N       20200101001915100000005000 0000000000002639   
0601VDA0N       20200101001920100000005000 0000000000002642   
0601VDA0N       20200101001925100000005000 0000000000002646   
0601VDA0N       20200101001930100000005000 0000000000002650   
0601VDA0N       20200101001935100000005000 0000000000002652   
0601VDA0N       20200101001940100000005000 0000000000002657   
0601VDA0N       20200101001945100000005000 0000000000002660   
0601VDA0N       20200101001950100000005000 0000000000002663   
0601VDA0N       20200101001955100000005000 0000000000002668   
0601VDA0N       20200101001960100000005000 0000000000002671   
0601VDA0N       20200101001965100000005000 0000000000002674   
0601VDA0N       20200101001970100000005000 0000000000002678   
0601VDA0N       20200101001975100000005000 0000000000002681   
0601VDA0N       20200101001980100000005000 0000000000002684   
0601VDA0N       20200101001985100000005000 0000000000002689   
0601VDA0N       20200101001990100000005000 0000000000002691   
0601VDA0N       20200101001995100000005000 0000000000002694   
0601VDA0N       20200101002000100000050000 0000000000002711   
0601VDA0N       20200101002050100000050000 0000000000002743   
0601VDA0N       20200101002100100000050000 0000000000002776   
0601VDA0N       20200101002150100000050000 0000000000002806   
0601VDA0N       20200101002200100000050000 0000000000002836   
0601VDA0N       20200101002250100000050000 0000000000002864   
0601VDA0N       20200101002300100000050000 0000000000002892   
0601VDA0N       20200101002350100000050000 0000000000002918   
0601VDA0N       20200101002400100000050000 0000000000002944   
0601VDA0N       20200101002450100000050000 0000000000002972   
0601VDA0N       20200101002500100000050000 0000000000002996   
0601VDA0N       20200101002550100000050000 0000000000003020   
0601VDA0N       20200101002600100000050000 0000000000003044   
0601VDA0N       20200101002650100000050000 0000000000003066   
0601VDA0N       20200101002700100000050000 0000000000003088   
0601VDA0N       20200101002750100000050000 0000000000003112   
0601VDA0N       20200101002800100000050000 0000000000003134   
0601VDA0N       20200101002850100000050000 0000000000003154   
0601VDA0N       20200101002900100000050000 0000000000003176   
0601VDA0N       20200101002950100000050000 0000000000003194   
0601VDA0N       20200101003000100000050000 0000000000003213   
0601VDA0N       20200101003050100000050000 0000000000003231   
0601VDA0N       20200101003100100000050000 0000000000003250   
0601VDA0N       20200101003150100000050000 0000000000003267   
0601VDA0N       20200101003200100000050000 0000000000003283   
0601VDA0N       20200101003250100000050000 0000000000003300   
0601VDA0N       20200101003300100000050000 0000000000003315   
0601VDA0N       20200101003350100000050000 0000000000003330   
0601VDA0N       20200101003400100000050000 0000000000003346   
0601VDA0N       20200101003450100000050000 0000000000003360   
0601VDA0N       20200101003500100000050000 0000000000003372   
0601VDA0N       20200101003550100000050000 0000000000003387   
0601VDA0N       20200101003600100000050000 0000000000003400   
0601VDA0N       20200101003650100000050000 0000000000003412   
0601VDA0N       20200101003700100000050000 0000000000003425   
0601VDA0N       20200101003750100000050000 0000000000003437   
0601VDA0N       20200101003800100000050000 0000000000003449   
0601VDA0N       20200101003850100000050000 0000000000003460   
0601VDA0N       20200101003900100000050000 0000000000003472   
0601VDA0N       20200101003950100000050000 0000000000003483   
0601VDA0N       20200101004000100000050000 0000000000003493   
0601VDA0N       20200101004050100000050000 0000000000003504   
0601VDA0N       20200101004100100000050000 0000000000003514   
0601VDA0N       20200101004150100000050000 0000000000003524   
0601VDA0N       20200101004200100000050000 0000000000003534   
0601VDA0N       20200101004250100000050000 0000000000003543   
0601VDA0N       20200101004300100000050000 0000000000003552   
0601VDA0N       20200101004350100000050000 0000000000003562   
0601VDA0N       20200101004400100000050000 0000000000003570   
0601VDA0N       20200101004450100000050000 0000000000003579   
0601VDA0N       20200101004500100000050000 0000000000003587   
0601VDA0N       20200101004550100000050000 0000000000003596   
0601VDA0N       20200101004600100000050000 0000000000003604   
0601VDA0N       20200101004650100000050000 0000000000003610   
0601VDA0N       20200101004700100000050000 0000000000003619   
0601VDA0N       20200101004750100000050000 0000000000003627   
0601VDA0N       20200101004800100000050000 0000000000003633   
0601VDA0N       20200101004850100000050000 0000000000003641   
0601VDA0N       20200101004900100000050000 0000000000003649   
0601VDA0N       20200101004950100000050000 0000000000003655   
0601VDA0N       20200101005000100000050000 0000000000003663   
0601VDA0N       20200101005050100000050000 0000000000003669   
0601VDA0N       20200101005100100000050000 0000000000003675   
0601VDA0N       20200101005150100000050000 0000000000003681   
0601VDA0N       20200101005200100000050000 0000000000003689   
0601VDA0N       20200101005250100000050000 0000000000003694   
0601VDA0N       20200101005300100000050000 0000000000003700   
0601VDA0N       20200101005350100000050000 0000000000003706   
0601VDA0N       20200101005400100000050000 0000000000003712   
0601VDA0N       20200101005450100000050000 0000000000003717   
0601VDA0N       20200101005500100000050000 0000000000003724   
0601VDA0N       20200101005550100000050000 0000000000003729   
0601VDA0N       20200101005600100000050000 0000000000003734   
0601VDA0N       20200101005650100000050000 0000000000003740   
0601VDA0N       20200101005700100000050000 0000000000003745   
0601VDA0N       20200101005750100000050000 0000000000003750   
0601VDA0N       20200101005800100000050000 0000000000003755   
0601VDA0N       20200101005850100000050000 0000000000003760   
0601VDA0N       20200101005900100000050000 0000000000003765   
0601VDA0N       20200101005950100000050000 0000000000003769   
0601VDA0N       20200101006000100000050000 0000000000003775   
0601VDA0N       20200101006050100000050000 0000000000003779   
0601VDA0N       20200101006100100000050000 0000000000003783   
0601VDA0N       20200101006150100000050000 0000000000003789   
0601VDA0N       20200101006200100000050000 0000000000003793   
0601VDA0N       20200101006250100000050000 0000000000003797   
0601VDA0N       20200101006300100000050000 0000000000003802   
0601VDA0N       20200101006350100000050000 0000000000003806   
0601VDA0N       20200101006400100000050000 0000000000003810   
0601VDA0N       20200101006450100000050000 0000000000003814   
0601VDA0N       20200101006500100000050000 0000000000003819   
0601VDA0N       20200101006550100000050000 0000000000003822   
0601VDA0N       20200101006600100000050000 0000000000003825   
0601VDA0N       20200101006650100000050000 0000000000003830   
0601VDA0N       20200101006700100000050000 0000000000003834   
0601VDA0N       20200101006750100000050000 0000000000003837   
0601VDA0N       20200101006800100000050000 0000000000003842   
0601VDA0N       20200101006850100000050000 0000000000003845   
0601VDA0N       20200101006900100000050000 0000000000003848   
0601VDA0N       20200101006950100000050000 0000000000003851   
0601VDA0N       20200101007000100000050000 0000000000003856   
0601VDA0N       20200101007050100000050000 0000000000003859   
0601VDA0N       20200101007100100000050000 0000000000003862   
0601VDA0N       20200101007150100000050000 0000000000003865   
0601VDA0N       20200101007200100000050000 0000000000003868   
0601VDA0N       20200101007250100000050000 0000000000003870   
0601VDA0N       20200101007300100000050000 0000000000003873   
0601VDA0N       20200101007350100000050000 0000000000003874   
0601VDA0N       20200101007400100000050000 0000000000003876   
0601VDA0N       20200101007450100000050000 0000000000003879   
0601VDA0N       20200101007500100000050000 0000000000003880   
0601VDA0N       20200101007550100000050000 0000000000003882   
0601VDA0N       20200101007600100000050000 0000000000003885   
0601VDA0N       20200101007650100000050000 0000000000003887   
0601VDA0N       20200101007700100000050000 0000000000003889   
0601VDA0N       20200101007750100000050000 0000000000003891   
0601VDA0N       20200101007800100000050000 0000000000003893   
0601VDA0N       20200101007850100000050000 0000000000003894   
0601VDA0N       20200101007900100000050000 0000000000003896   
0601VDA0N       20200101007950100000050000 0000000000003898   
0601VDA0N       20200101008000100000050000 0000000000003900   
0601VDA0N       20200101008050100000050000 0000000000003901   
0601VDA0N       20200101008100100000050000 0000000000003904   
0601VDA0N       20200101008150100000050000 0000000000003906   
0601VDA0N       20200101008200100000050000 0000000000003907   
0601VDA0N       20200101008250100000050000 0000000000003909   
0601VDA0N       20200101008300100000050000 0000000000003911   
0601VDA0N       20200101008350100000050000 0000000000003912   
0601VDA0N       20200101008400100000050000 0000000000003914   
0601VDA0N       20200101008450100000050000 0000000000003915   
0601VDA0N       20200101008500100000050000 0000000000003917   
0601VDA0N       20200101008550100000050000 0000000000003918   
0601VDA0N       20200101008600100000050000 0000000000003920   
0601VDA0N       20200101008650100000050000 0000000000003921   
0601VDA0N       20200101008700100000050000 0000000000003923   
0601VDA0N       20200101008750100000050000 0000000000003925   
0601VDA0N       20200101008800100000050000 0000000000003927   
0601VDA0N       20200101008850100000050000 0000000000003928   
0601VDA0N       20200101008900100000050000 0000000000003930   
0601VDA0N       20200101008950100000050000 0000000000003931   
0601VDA0N       20200101009000100000050000 0000000000003932   
0601VDA0N       20200101009050100000050000 0000000000003934   
0601VDA0N       20200101009100100000050000 0000000000003935   
0601VDA0N       20200101009150100000050000 0000000000003936   
0601VDA0N       20200101009200100000050000 0000000000003938   
0601VDA0N       20200101009250100000050000 0000000000003939   
0601VDA0N       20200101009300100000050000 0000000000003940   
0601VDA0N       20200101009350100000050000 0000000000003942   
0601VDA0N       20200101009400100000050000 0000000000003944   
0601VDA0N       20200101009450100000050000 0000000000003945   
0601VDA0N       20200101009500100000050000 0000000000003946   
0601VDA0N       20200101009550100000050000 0000000000003947   
