00LU               20181210                                                                                   
0601LUA0N       20190101001035100000005000 0000014570001404   
0601LUA0N       20190101001040100000005000 0000014670001407   
0601LUA0N       20190101001045100000005000 0000014770001410   
0601LUA0N       20190101001050100000005000 0000014870001413   
0601LUA0N       20190101001055100000005000 0000014970001416   
0601LUA0N       20190101001060100000005000 0000015070001418   
0601LUA0N       20190101001065100000005000 0000015170001421   
0601LUA0N       20190101001070100000005000 0000015280001425   
0601LUA0N       20190101001075100000005000 0000015400001429   
0601LUA0N       20190101001080100000005000 0000015500001432   
0601LUA0N       20190101001085100000005000 0000015610001435   
0601LUA0N       20190101001090100000005000 0000015720001439   
0601LUA0N       20190101001095100000005000 0000015830001442   
0601LUA0N       20190101001100100000005000 0000015940001446   
0601LUA0N       20190101001105100000005000 0000016080001452   
0601LUA0N       20190101001110100000005000 0000016190001455   
0601LUA0N       20190101001115100000005000 0000016310001460   
0601LUA0N       20190101001120100000005000 0000016420001463   
0601LUA0N       20190101001125100000005000 0000016560001469   
0601LUA0N       20190101001130100000005000 0000016670001472   
0601LUA0N       20190101001135100000005000 0000016780001475   
0601LUA0N       20190101001140100000005000 0000016920001481   
0601LUA0N       20190101001145100000005000 0000017040001485   
0601LUA0N       20190101001150100000005000 0000017150001488   
0601LUA0N       20190101001155100000005000 0000017290001494   
0601LUA0N       20190101001160100000005000 0000017400001497   
0601LUA0N       20190101001165100000005000 0000017510001500   
0601LUA0N       20190101001170100000005000 0000017650001505   
0601LUA0N       20190101001175100000005000 0000017770001509   
0601LUA0N       20190101001180100000005000 0000017880001512   
0601LUA0N       20190101001185100000005000 0000018020001517   
0601LUA0N       20190101001190100000005000 0000018130001520   
0601LUA0N       20190101001195100000005000 0000018240001523   
0601LUA0N       20190101001200100000005000 0000018380001528   
0601LUA0N       20190101001205100000005000 0000018490001531   
0601LUA0N       20190101001210100000005000 0000018610001535   
0601LUA0N       20190101001215100000005000 0000018750001540   
0601LUA0N       20190101001220100000005000 0000018860001543   
0601LUA0N       20190101001225100000005000 0000018970001545   
0601LUA0N       20190101001230100000005000 0000019110001551   
0601LUA0N       20190101001235100000005000 0000019220001553   
0601LUA0N       20190101001240100000005000 0000019340001557   
0601LUA0N       20190101001245100000005000 0000019480001562   
0601LUA0N       20190101001250100000005000 0000019590001564   
0601LUA0N       20190101001255100000005000 0000019700001567   
0601LUA0N       20190101001260100000005000 0000019840001571   
0601LUA0N       20190101001265100000005000 0000019950001574   
0601LUA0N       20190101001270100000005000 0000020070001577   
0601LUA0N       20190101001275100000005000 0000020210001582   
0601LUA0N       20190101001280100000005000 0000020320001584   
0601LUA0N       20190101001285100000005000 0000020430001587   
0601LUA0N       20190101001290100000005000 0000020570001591   
0601LUA0N       20190101001295100000005000 0000020680001594   
0601LUA0N       20190101001300100000005000 0000020800001597   
0601LUA0N       20190101001305100000005000 0000020930001601   
0601LUA0N       20190101001310100000005000 0000021050001604   
0601LUA0N       20190101001315100000005000 0000021160001606   
0601LUA0N       20190101001320100000005000 0000021300001611   
0601LUA0N       20190101001325100000005000 0000021410001613   
0601LUA0N       20190101001330100000005000 0000021530001616   
0601LUA0N       20190101001335100000005000 0000021660001619   
0601LUA0N       20190101001340100000005000 0000021780001622   
0601LUA0N       20190101001345100000005000 0000021890001624   
0601LUA0N       20190101001350100000005000 0000022030001629   
0601LUA0N       20190101001355100000005000 0000022140001631   
0601LUA0N       20190101001360100000005000 0000022260001634   
0601LUA0N       20190101001365100000005000 0000022390001637   
0601LUA0N       20190101001370100000005000 0000022510001640   
0601LUA0N       20190101001375100000005000 0000022630001643   
